Admin_Unit_Code,Sub_Unit_Code,Site_Name,Plot_Name,Location_Type,Year,Date,Start_Time,End_Time,Observer,Visit,Interval_Length,ID_Method,Distance,Flyover_Observed,Sex,Common_Name,Scientific_Name,AcceptedTSN,NPSTaxonCode,AOU_Code,PIF_Watchlist_Status,Regional_Stewardship_Status,Temperature,Humidity,Sky,Wind,Disturbance,Initial_Three_Min_Cnt
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,FALSE,TRUE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,,American Crow,Corvus brachyrhynchos,179731,87106,AMCR,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Yellow Warbler,Setophaga petechia,950039,773778,YEWA,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Visualization,<= 50 Meters,FALSE,,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0036,Forest,2018,05/22/2018,12/30/1899 06:19:00,12/30/1899 06:29:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,19.8999996185303,79.4000015258789,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,5 - 7.5 min,Calling,50 - 100 Meters,FALSE,,Red-bellied Woodpecker,Melanerpes carolinus,178195,84865,RBWO,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Downy Woodpecker,Picoides pubescens,178259,84936,DOWO,FALSE,TRUE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,,Baltimore Oriole,Icterus galbula,179083,93655,BAOR,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0082,Forest,2018,05/22/2018,12/30/1899 06:02:00,12/30/1899 06:12:00,Kimberly Serno,1,2.5 - 5 min,Calling,50 - 100 Meters,FALSE,,Great Crested Flycatcher,Myiarchus crinitus,178309,85791,GCFL,FALSE,FALSE,20.7999992370605,72.1999969482422,Cloudy/Overcast,Calm (< 1 mph) smoke rises vertically,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,<= 50 Meters,FALSE,Undetermined,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Mourning Dove,Zenaida macroura,177125,82737,MODO,FALSE,FALSE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,<= 50 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,7.5 - 10 min,Singing,50 - 100 Meters,FALSE,Undetermined,Chipping Sparrow,Spizella passerina,179435,84781,CHSP,FALSE,FALSE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,2.5 - 5 min,Calling,<= 50 Meters,FALSE,,Carolina Chickadee,Poecile carolinensis,554383,265876,CACH,FALSE,TRUE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,5 - 7.5 min,Calling,<= 50 Meters,FALSE,,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0078,Forest,2018,05/22/2018,12/30/1899 07:21:00,12/30/1899 07:31:00,Kimberly Serno,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Towhee,Pipilo erythrophthalmus,179276,83803,EATO,FALSE,TRUE,21.7000007629395,75.8000030517578,Mist/Drizzle,Light air movement (1-3 mph) smoke drifts,No effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0025,Forest,2018,05/23/2018,12/30/1899 08:28:00,12/30/1899 08:38:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Blue Jay,Cyanocitta cristata,179680,86252,BLJA,FALSE,FALSE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0025,Forest,2018,05/23/2018,12/30/1899 08:28:00,12/30/1899 08:38:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Eastern Bluebird,Sialia sialis,179801,87184,EABL,FALSE,FALSE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0025,Forest,2018,05/23/2018,12/30/1899 08:28:00,12/30/1899 08:38:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,American Goldfinch,Spinus tristis,179236,95300,AMGO,FALSE,FALSE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0025,Forest,2018,05/23/2018,12/30/1899 08:28:00,12/30/1899 08:38:00,Elizabeth Oswald,1,0-2.5 min,Visualization,,TRUE,,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0025,Forest,2018,05/23/2018,12/30/1899 08:28:00,12/30/1899 08:38:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0025,Forest,2018,05/23/2018,12/30/1899 08:28:00,12/30/1899 08:38:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Indigo Bunting,Passerina cyanea,179150,94257,INBU,FALSE,TRUE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0025,Forest,2018,05/23/2018,12/30/1899 08:28:00,12/30/1899 08:38:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,,TRUE,,Red-winged Blackbird,Agelaius phoeniceus,179045,93613,RWBL,FALSE,FALSE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0025,Forest,2018,05/23/2018,12/30/1899 08:28:00,12/30/1899 08:38:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,,Northern Mockingbird,Mimus polyglottos,178620,88394,NOMO,FALSE,FALSE,28.5,66,Partly Cloudy,Light breeze (4-7 mph) wind felt on face,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,50 - 100 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,<= 50 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Male,Pileated Woodpecker,Dryocopus pileatus,178166,84833,PIWO,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,7.5 - 10 min,Visualization,<= 50 Meters,FALSE,Undetermined,Pileated Woodpecker,Dryocopus pileatus,178166,84833,PIWO,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Northern Cardinal,Cardinalis cardinalis,179124,94228,NOCA,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Undetermined,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Field Sparrow,Spizella pusilla,179443,84790,FISP,FALSE,TRUE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,2.5 - 5 min,Singing,50 - 100 Meters,FALSE,,Eastern Tufted Titmouse,Baeolophus bicolor,554138,266957,ETTI,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Singing,50 - 100 Meters,FALSE,Undetermined,Eastern Wood-Pewee,Contopus virens,178359,85846,EAWP,FALSE,TRUE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,0-2.5 min,Calling,<= 50 Meters,FALSE,,Blue-gray Gnatcatcher,Polioptila caerulea,179853,88038,BGGN,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0052,Forest,2018,05/23/2018,12/30/1899 09:26:00,12/30/1899 09:36:00,Elizabeth Oswald,1,5 - 7.5 min,Visualization,<= 50 Meters,FALSE,Male,Brown-headed Cowbird,Molothrus ater,179112,94215,BHCO,FALSE,FALSE,27.5,62.9000015258789,Partly Cloudy,Light air movement (1-3 mph) smoke drifts,Moderate effect on count,FALSE
ANTI,NA,ANTI 1,ANTI-0072,Forest,2018,05/23/2018,12/30/1899 10:01:00,12/30/1899 10:11:00,Elizabeth Oswald,1,0-2.5 min,Singing,<= 50 Meters,FALSE,,Cedar Waxwing,Bombycilla cedrorum,178532,88296,CEDW,FALSE,FALSE,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
ANTI,NA,ANTI 1,ANTI-0072,Forest,2018,05/23/2018,12/30/1899 10:01:00,12/30/1899 10:11:00,Elizabeth Oswald,1,0-2.5 min,Singing,50 - 100 Meters,FALSE,,Carolina Wren,Thryothorus ludovicianus,178581,88350,CARW,FALSE,FALSE,26.1000003814697,61.2000007629395,Clear or Few Clouds,Light breeze (4-7 mph) wind felt on face,Slight effect on count,TRUE
